date,away,home,away_score,home_score,win
2024-03-23,한화,LG,2,8,LG
2024-03-23,롯데,SSG,3,5,SSG
2024-03-23,두산,NC,3,4,NC
2024-03-23,삼성,KT,6,2,삼성
2024-03-23,키움,KIA,5,7,KIA
2024-03-24,한화,LG,8,4,한화
2024-03-24,롯데,SSG,6,7,SSG
2024-03-24,두산,NC,6,3,두산
2024-03-24,삼성,KT,11,8,삼성
2024-03-26,삼성,LG,3,4,LG
2024-03-26,한화,SSG,6,0,한화
2024-03-26,키움,NC,5,10,NC
2024-03-26,두산,KT,8,5,두산
2024-03-26,롯데,KIA,1,2,KIA
2024-03-27,삼성,LG,2,2,draw
2024-03-27,한화,SSG,3,1,한화
2024-03-27,키움,NC,2,6,NC
2024-03-27,두산,KT,11,8,두산
2024-03-27,롯데,KIA,2,8,KIA
2024-03-28,삼성,LG,1,18,LG
2024-03-28,한화,SSG,10,6,한화
2024-03-28,두산,KT,7,8,KT
2024-03-29,KIA,두산,4,2,KIA
2024-03-29,NC,롯데,1,3,롯데
2024-03-29,SSG,삼성,6,4,SSG
2024-03-29,LG,키움,3,0,LG
2024-03-29,KT,한화,2,3,한화
2024-03-30,KT,한화,5,8,한화
2024-03-30,KIA,두산,0,8,두산
2024-03-30,NC,롯데,8,0,NC
2024-03-30,SSG,삼성,9,6,SSG
2024-03-30,LG,키움,3,8,키움
2024-03-31,KIA,두산,9,3,KIA
2024-03-31,NC,롯데,8,7,NC
2024-03-31,SSG,삼성,4,3,SSG
2024-03-31,LG,키움,4,8,키움
2024-03-31,KT,한화,3,14,한화
2024-04-02,NC,LG,7,5,NC
2024-04-02,두산,SSG,6,13,SSG
2024-04-02,키움,삼성,8,3,키움
2024-04-02,KIA,KT,6,10,KT
2024-04-02,롯데,한화,1,0,롯데
2024-04-03,NC,LG,0,5,LG
2024-04-03,두산,SSG,3,5,SSG
2024-04-03,KIA,KT,5,1,KIA
2024-04-04,NC,LG,7,8,LG
2024-04-04,두산,SSG,2,3,SSG
