,,1,2,3,4,5,6,7,8,9,10
2024-03-23,LG,0.7209507042,0.1704145327,0.0662612036,0.0282090269,0.0103233035,0.0031209987,0.0005601793,0.0001600512,0.0,0.0
2024-03-23,KT,0.1504081306,0.3034971191,0.2172295134,0.150328105,0.0985515365,0.0558178617,0.0197663252,0.0037612036,0.0005601793,8.00256e-05
2024-03-23,SSG,0.0850272087,0.2160291293,0.2233114597,0.1872599232,0.1435659411,0.0942701665,0.0380921895,0.0096830986,0.002240717,0.0005201665
2024-03-23,NC,0.0508962868,0.154209347,0.1950224072,0.2028649168,0.1805377721,0.1353633163,0.0564180538,0.0192461588,0.0043613956,0.0010803457
2024-03-23,두산,0.0285291293,0.0989116517,0.1485275288,0.1804977593,0.2055057618,0.1910611396,0.1003521127,0.034931178,0.0095630602,0.0021206786
2024-03-23,KIA,0.0247279129,0.0967509603,0.1456466069,0.1807378361,0.2002640845,0.201584507,0.1038332266,0.03553137,0.0087227913,0.0022007042
2024-03-23,롯데,0.0016805378,0.0101232394,0.0250880282,0.0583786812,0.0995518566,0.1810179257,0.320262484,0.1798175416,0.0886283611,0.0354513444
2024-03-23,삼성,0.0002400768,0.0007202305,0.0031209987,0.0088028169,0.0222071063,0.0606994238,0.1573303457,0.2963348271,0.2605633803,0.1899807939
2024-03-23,한화,8.00256e-05,0.0003201024,0.0009603073,0.0042013444,0.0127240717,0.0366517286,0.1118357875,0.2360755442,0.3013764405,0.2957746479
2024-03-23,키움,0.0,0.0001600512,0.0006402049,0.0022007042,0.0068421895,0.0228072983,0.0809859155,0.1877800896,0.2985355314,0.4000480154
2024-03-24,LG,0.7035851472,0.1747759283,0.066581306,0.0403329065,0.0128040973,0.0012804097,0.0,0.0006402049,0.0,0.0
2024-03-24,KT,0.1363636364,0.2829705506,0.2234314981,0.1581306018,0.1088348271,0.062099872,0.0211267606,0.0051216389,0.0019206146,0.0
2024-03-24,SSG,0.1107554417,0.2221510883,0.2195902689,0.171574904,0.1440460948,0.0877080666,0.0377720871,0.0057618438,0.0006402049,0.0
2024-03-24,NC,0.0499359795,0.1440460948,0.1728553137,0.1959026889,0.1978233035,0.1440460948,0.0704225352,0.0204865557,0.0044814341,0.0
2024-03-24,두산,0.0377720871,0.1216389245,0.1677336748,0.1728553137,0.2067861716,0.166453265,0.0877080666,0.028809219,0.009603073,0.0006402049
2024-03-24,KIA,0.0268886044,0.0921895006,0.1498079385,0.1830985915,0.1959026889,0.195262484,0.1107554417,0.0352112676,0.0070422535,0.0038412292
2024-03-24,롯데,0.0012804097,0.0083226633,0.0262483995,0.0512163892,0.090268886,0.1683738796,0.2887323944,0.204865557,0.1165172855,0.0441741357
2024-03-24,삼성,0.0,0.0019206146,0.0012804097,0.0102432778,0.0281690141,0.056978233,0.185659411,0.2868117798,0.2580025608,0.1709346991
2024-03-24,한화,0.0,0.0,0.0,0.0038412292,0.0121638924,0.0422535211,0.133162612,0.252240717,0.290653009,0.2656850192
2024-03-24,키움,0.0,0.0006402049,0.0006402049,0.0019206146,0.0083226633,0.028809219,0.076184379,0.1581306018,0.2874519846,0.437900128
2024-03-26,LG,0.718950064,0.1741357234,0.0640204866,0.0313700384,0.0083226633,0.0032010243,0.0,0.0,0.0,0.0
2024-03-26,KT,0.1171574904,0.2669654289,0.1984635083,0.1696542894,0.1434058899,0.0685019206,0.028809219,0.0064020487,0.0,0.0006402049
2024-03-26,SSG,0.0877080666,0.2061459667,0.2138284251,0.1895006402,0.133162612,0.1241997439,0.0345710627,0.0083226633,0.0012804097,0.0012804097
2024-03-26,NC,0.0595390525,0.1690140845,0.204865557,0.1766965429,0.1702944942,0.1395646607,0.0537772087,0.0217669654,0.0044814341,0.0
2024-03-26,두산,0.0403329065,0.1274007682,0.1606914213,0.1959026889,0.2003841229,0.166453265,0.0755441741,0.0249679898,0.0064020487,0.0019206146
2024-03-26,KIA,0.0326504481,0.1165172855,0.1389244558,0.1907810499,0.1984635083,0.195262484,0.0915492958,0.0249679898,0.0083226633,0.0025608195
2024-03-26,롯데,0.0012804097,0.0057618438,0.0217669654,0.0416133163,0.0832266325,0.1485275288,0.3290653009,0.2151088348,0.1011523688,0.052496799
2024-03-26,삼성,0.0,0.0006402049,0.0025608195,0.0076824584,0.0256081946,0.0633802817,0.166453265,0.2797695262,0.2676056338,0.1862996159
2024-03-26,한화,0.0,0.0006402049,0.0006402049,0.0044814341,0.0147247119,0.0544174136,0.1318822023,0.2516005122,0.3117797695,0.2298335467
2024-03-26,키움,0.0,0.0006402049,0.0006402049,0.0006402049,0.0057618438,0.0224071703,0.0723431498,0.166453265,0.2765685019,0.4545454545
2024-03-27,LG,0.709346991,0.1670934699,0.0717029449,0.0256081946,0.0153649168,0.0083226633,0.0025608195,0.0,0.0,0.0
2024-03-27,KT,0.1011523688,0.2586427657,0.2125480154,0.1747759283,0.1241997439,0.0985915493,0.0179257362,0.0089628681,0.0025608195,0.0006402049
2024-03-27,SSG,0.0697823303,0.181177977,0.218950064,0.181177977,0.1702944942,0.1101152369,0.0473751601,0.0147247119,0.0057618438,0.0006402049
2024-03-27,NC,0.056978233,0.1779769526,0.1888604353,0.195262484,0.181177977,0.1261203585,0.0499359795,0.0172855314,0.0051216389,0.0012804097
2024-03-27,두산,0.0422535211,0.1613316261,0.1696542894,0.1747759283,0.1843790013,0.1741357234,0.0678617157,0.0185659411,0.0051216389,0.0019206146
2024-03-27,KIA,0.0409731114,0.1152368758,0.1600512164,0.1862996159,0.1959026889,0.1920614597,0.0691421255,0.0294494238,0.0064020487,0.0044814341
2024-03-27,롯데,0.0019206146,0.0076824584,0.0160051216,0.0320102433,0.066581306,0.1389244558,0.3220230474,0.2317541613,0.1280409731,0.0550576184
2024-03-27,삼성,0.0,0.0006402049,0.0006402049,0.0134443022,0.0211267606,0.0499359795,0.1632522407,0.2957746479,0.2663252241,0.1888604353
2024-03-27,한화,0.0,0.0,0.0038412292,0.0070422535,0.0153649168,0.0518565941,0.1658130602,0.23815621,0.3021766965,0.2157490397
2024-03-27,키움,0.0,0.0006402049,0.0012804097,0.0012804097,0.0076824584,0.0172855314,0.0723431498,0.1363636364,0.2624839949,0.5006402049
2024-03-28,LG,0.7362355954,0.1626120359,0.062099872,0.02368758,0.0128040973,0.0019206146,0.0,0.0006402049,0.0,0.0
