,,1,2,3,4,5,6,7,8,9,10
2024-03-23,LG,0.1296814981,0.115596991,0.1119958387,0.1030329706,0.1012724072,0.096190781,0.0947503201,0.0883082586,0.0841869398,0.0749839949
2024-03-23,KT,0.0967509603,0.0969110115,0.1038732394,0.0975912292,0.0995118438,0.1009523047,0.1020726633,0.1007522407,0.0972711268,0.1043133803
2024-03-23,SSG,0.1244798335,0.1198383483,0.1109555058,0.1058338668,0.1011923816,0.097831306,0.0923895647,0.0899887964,0.0847071063,0.0727832907
2024-03-23,NC,0.1330825864,0.1159170935,0.110915493,0.107634443,0.1021526889,0.0947103073,0.0929497439,0.0871478873,0.0819462228,0.0735435339
2024-03-23,두산,0.0968309859,0.1007522407,0.0945902689,0.1020726633,0.1024727913,0.0975912292,0.100072023,0.1039132522,0.1006722151,0.1010323303
2024-03-23,KIA,0.1255201665,0.1167573624,0.1109955186,0.1041533291,0.1027528809,0.0954705506,0.0949103713,0.0872679257,0.0852272727,0.0769446223
2024-03-23,롯데,0.0983514725,0.1012323944,0.0987115877,0.1018325864,0.0985115237,0.0998319462,0.1010323303,0.0989916773,0.0993918054,0.1021126761
2024-03-23,삼성,0.1280809859,0.1157970551,0.1089148528,0.1067141485,0.1016725352,0.0962708067,0.093349872,0.0873879641,0.0842669654,0.0775448143
2024-03-23,한화,0.0985915493,0.099871959,0.0982314341,0.1016725352,0.1006722151,0.101712548,0.0995118438,0.099671895,0.1002320743,0.0998319462
2024-03-23,키움,0.1012724072,0.0937099872,0.0975112036,0.0990717029,0.099271767,0.1004721511,0.0987516005,0.1030329706,0.1041133163,0.1027928937
2024-03-24,LG,0.1043533931,0.1216389245,0.1101152369,0.0985915493,0.1184379001,0.085787452,0.0909090909,0.1120358515,0.0877080666,0.0704225352
2024-03-24,KT,0.0793854033,0.0915492958,0.0992317542,0.0934699104,0.1056338028,0.0877080666,0.1024327785,0.1056338028,0.0979513444,0.1370038412
2024-03-24,SSG,0.1472471191,0.1267605634,0.1152368758,0.1107554417,0.0877080666,0.1069142125,0.0845070423,0.0870678617,0.0755441741,0.0582586428
2024-03-24,NC,0.1139564661,0.095390525,0.1113956466,0.109475032,0.1088348271,0.0845070423,0.1011523688,0.1017925736,0.0768245839,0.0966709347
2024-03-24,두산,0.1126760563,0.1101152369,0.1043533931,0.1081946223,0.0960307298,0.095390525,0.1011523688,0.0819462228,0.095390525,0.0947503201
2024-03-24,KIA,0.1389244558,0.0985915493,0.0985915493,0.085787452,0.1081946223,0.1165172855,0.0934699104,0.0921895006,0.0928297055,0.0749039693
2024-03-24,롯데,0.0985915493,0.0864276569,0.1024327785,0.095390525,0.0966709347,0.0973111396,0.1069142125,0.095390525,0.1101152369,0.1107554417
2024-03-24,삼성,0.1402048656,0.1357234315,0.1203585147,0.1037131882,0.0896286812,0.0960307298,0.0941101152,0.0864276569,0.0691421255,0.0646606914
2024-03-24,한화,0.1024327785,0.1081946223,0.1088348271,0.1037131882,0.1107554417,0.0992317542,0.104993598,0.0870678617,0.0941101152,0.0806658131
2024-03-24,키움,0.0909090909,0.1056338028,0.0921895006,0.099871959,0.0985915493,0.1158770807,0.0941101152,0.0979513444,0.1030729834,0.1017925736
2024-03-26,LG,0.1005121639,0.1062740077,0.1145966709,0.1184379001,0.1216389245,0.0915492958,0.1030729834,0.0947503201,0.0729833547,0.076184379
2024-03-26,KT,0.0691421255,0.0838668374,0.0915492958,0.095390525,0.1037131882,0.0921895006,0.1241997439,0.1011523688,0.1222791293,0.1165172855
2024-03-26,SSG,0.1344430218,0.104993598,0.1203585147,0.1235595391,0.099871959,0.1037131882,0.0851472471,0.076184379,0.0793854033,0.0723431498
2024-03-26,NC,0.1184379001,0.1267605634,0.1056338028,0.099871959,0.1005121639,0.1030729834,0.0832266325,0.099871959,0.0877080666,0.0749039693
2024-03-26,두산,0.1376440461,0.1024327785,0.1376440461,0.0966709347,0.1030729834,0.0896286812,0.0819462228,0.0896286812,0.0921895006,0.0691421255
2024-03-26,KIA,0.152368758,0.1325224072,0.1024327785,0.1056338028,0.0992317542,0.1030729834,0.0877080666,0.0787451985,0.0736235595,0.0646606914
2024-03-26,롯데,0.0691421255,0.0825864277,0.0870678617,0.0851472471,0.0838668374,0.1126760563,0.1069142125,0.1197183099,0.1197183099,0.133162612
2024-03-26,삼성,0.1370038412,0.1209987196,0.1081946223,0.0909090909,0.0870678617,0.1030729834,0.1011523688,0.0864276569,0.0845070423,0.0806658131
2024-03-26,한화,0.1254801536,0.119078105,0.0979513444,0.1062740077,0.1081946223,0.0934699104,0.1037131882,0.0870678617,0.0749039693,0.0838668374
2024-03-26,키움,0.0909090909,0.0838668374,0.1017925736,0.1005121639,0.0947503201,0.0992317542,0.1024327785,0.0992317542,0.1133162612,0.1139564661
2024-03-27,LG,0.109475032,0.1037131882,0.1113956466,0.1081946223,0.1069142125,0.1145966709,0.0870678617,0.0966709347,0.0813060179,0.0806658131
2024-03-27,KT,0.0595390525,0.0614596671,0.0819462228,0.0800256082,0.0934699104,0.1069142125,0.1209987196,0.1088348271,0.1344430218,0.152368758
2024-03-27,SSG,0.1056338028,0.1056338028,0.0966709347,0.0992317542,0.1139564661,0.1030729834,0.090268886,0.1011523688,0.0928297055,0.0915492958
2024-03-27,NC,0.1299615877,0.1274007682,0.1088348271,0.1171574904,0.1011523688,0.0915492958,0.0883482714,0.0941101152,0.0742637644,0.0672215109
2024-03-27,두산,0.1325224072,0.1402048656,0.104993598,0.119078105,0.099871959,0.0838668374,0.0966709347,0.0813060179,0.0806658131,0.0608194622
2024-03-27,KIA,0.1555697823,0.1357234315,0.1235595391,0.1113956466,0.0973111396,0.0909090909,0.0864276569,0.0736235595,0.076184379,0.0492957746
2024-03-27,롯데,0.0723431498,0.0723431498,0.0800256082,0.0793854033,0.104993598,0.0973111396,0.1126760563,0.1043533931,0.1459667093,0.1306017926
2024-03-27,삼성,0.1235595391,0.0960307298,0.109475032,0.1075544174,0.0960307298,0.1107554417,0.1069142125,0.085787452,0.0825864277,0.0813060179
2024-03-27,한화,0.1293213828,0.1229193342,0.1171574904,0.1075544174,0.1062740077,0.0973111396,0.0909090909,0.0915492958,0.0710627401,0.0659411012
2024-03-27,키움,0.0627400768,0.0793854033,0.0928297055,0.095390525,0.0883482714,0.1056338028,0.1043533931,0.1184379001,0.1177976953,0.1350832266
2024-03-28,LG,0.1152368758,0.1229193342,0.104993598,0.1165172855,0.0921895006,0.085787452,0.1145966709,0.095390525,0.0787451985,0.0736235595
2024-03-28,KT,0.0653008963,0.0781049936,0.0921895006,0.0947503201,0.0947503201,0.1120358515,0.1037131882,0.1005121639,0.1350832266,0.1235595391
2024-03-28,SSG,0.1120358515,0.0889884763,0.0973111396,0.0947503201,0.090268886,0.1145966709,0.1017925736,0.0985915493,0.104993598,0.0966709347
2024-03-28,NC,0.1376440461,0.1120358515,0.1145966709,0.1306017926,0.1024327785,0.0889884763,0.0870678617,0.0832266325,0.0768245839,0.066581306
2024-03-28,두산,0.1216389245,0.1267605634,0.1011523688,0.1005121639,0.1107554417,0.0973111396,0.0960307298,0.0851472471,0.0845070423,0.076184379
2024-03-28,KIA,0.1638924456,0.138284251,0.1152368758,0.1075544174,0.1024327785,0.0787451985,0.0883482714,0.0781049936,0.0704225352,0.056978233
2024-03-28,롯데,0.0588988476,0.0653008963,0.0870678617,0.0941101152,0.1120358515,0.1081946223,0.1011523688,0.1145966709,0.1241997439,0.1344430218
2024-03-28,삼성,0.0985915493,0.0896286812,0.1126760563,0.1133162612,0.0928297055,0.1017925736,0.0877080666,0.1126760563,0.0832266325,0.1075544174
2024-03-28,한화,0.1414852753,0.1446862996,0.133162612,0.1024327785,0.1024327785,0.0928297055,0.0672215109,0.0755441741,0.0793854033,0.0608194622
2024-03-28,키움,0.0659411012,0.0723431498,0.0774647887,0.0870678617,0.0934699104,0.1145966709,0.1216389245,0.1216389245,0.1280409731,0.1177976953
2024-03-29,LG,0.1363636364,0.1254801536,0.1107554417,0.1081946223,0.1043533931,0.0979513444,0.0915492958,0.0813060179,0.076184379,0.0678617157
2024-03-29,KT,0.0537772087,0.0601792574,0.095390525,0.0864276569,0.0845070423,0.1024327785,0.109475032,0.1299615877,0.1299615877,0.1478873239
2024-03-29,SSG,0.1043533931,0.1152368758,0.1069142125,0.1088348271,0.1126760563,0.104993598,0.0941101152,0.1030729834,0.0825864277,0.0672215109
2024-03-29,NC,0.1184379001,0.1088348271,0.1241997439,0.1030729834,0.0947503201,0.0985915493,0.1011523688,0.0774647887,0.0921895006,0.0813060179
2024-03-29,두산,0.0877080666,0.109475032,0.1107554417,0.1171574904,0.0973111396,0.1030729834,0.099871959,0.1024327785,0.085787452,0.0864276569
2024-03-29,KIA,0.1638924456,0.1504481434,0.1293213828,0.109475032,0.1056338028,0.0864276569,0.0845070423,0.0685019206,0.0640204866,0.0377720871
2024-03-29,롯데,0.0685019206,0.0813060179,0.0774647887,0.0870678617,0.0992317542,0.104993598,0.1037131882,0.1203585147,0.1165172855,0.1408450704
2024-03-29,삼성,0.0915492958,0.0889884763,0.0966709347,0.0985915493,0.1081946223,0.1024327785,0.0883482714,0.1145966709,0.1088348271,0.1017925736
2024-03-29,한화,0.1927016645,0.1357234315,0.1216389245,0.1017925736,0.1024327785,0.0966709347,0.0813060179,0.0691421255,0.0588988476,0.0396927017
2024-03-29,키움,0.062099872,0.0627400768,0.0742637644,0.0947503201,0.085787452,0.1062740077,0.1274007682,0.1158770807,0.119078105,0.1517285531
2024-03-30,LG,0.1191981434,0.1203185019,0.1144366197,0.1085547375,0.1062339949,0.0978713188,0.0943501921,0.0900288092,0.0793053777,0.0697023047
2024-03-30,KT,0.0502560819,0.0629401408,0.0714228553,0.0840669014,0.0946702945,0.1008322663,0.1144766325,0.1246798976,0.136643726,0.1600112036
2024-03-30,SSG,0.1165973111,0.1195982714,0.1095950704,0.1058338668,0.1028329065,0.1040733035,0.0932298335,0.0921895006,0.0828665173,0.0731834187
2024-03-30,NC,0.1354033291,0.121318822,0.1171574904,0.113356274,0.1063140205,0.0949103713,0.0897487196,0.0829465429,0.0780649808,0.0607794494
2024-03-30,두산,0.1153569142,0.1147167093,0.1131161972,0.1079145327,0.1020726633,0.1023527529,0.0964308579,0.0919894366,0.083546735,0.072503201
